------------------------------「演算結果」------------------------------
          | 経過時間(ミリ秒)| ペナルティ(プライオリティ順)
 102 | time: 511 msec | Optimization: 60 12043 1 15 87 76
 103 | time: 512 msec | Optimization: 60 12040 1 15 90 76
 104 | time: 514 msec | Optimization: 60 12015 1 14 90 76
 105 | time: 516 msec | Optimization: 60 12014 1 14 93 76
 106 | time: 518 msec | Optimization: 60 12014 1 14 92 76
 107 | time: 519 msec | Optimization: 60 12014 1 14 91 76
 108 | time: 521 msec | Optimization: 60 12000 1 14 91 76
 109 | time: 523 msec | Optimization: 60 11999 1 14 84 78
 110 | time: 525 msec | Optimization: 60 11998 1 14 93 78
 111 | time: 527 msec | Optimization: 60 11991 1 14 97 76
 112 | time: 530 msec | Optimization: 60 11981 1 15 92 78
 113 | time: 533 msec | Optimization: 60 11966 1 14 92 78
 114 | time: 535 msec | Optimization: 60 11951 1 15 97 76
 115 | time: 537 msec | Optimization: 60 11951 1 15 94 76
 116 | time: 539 msec | Optimization: 60 11951 1 15 91 76
 117 | time: 549 msec | Optimization: 60 11950 1 15 89 76
 118 | time: 551 msec | Optimization: 60 11936 1 13 104 76
 119 | time: 554 msec | Optimization: 60 11935 1 13 103 76
 120 | time: 555 msec | Optimization: 60 11935 1 13 100 76
 121 | time: 557 msec | Optimization: 60 11934 1 13 100 76
 122 | time: 559 msec | Optimization: 60 11927 1 13 98 78
 123 | time: 561 msec | Optimization: 60 11926 1 13 98 78
 124 | time: 564 msec | Optimization: 60 11926 1 13 97 78
 125 | time: 570 msec | Optimization: 60 11926 1 13 95 78
 126 | time: 574 msec | Optimization: 60 11926 1 13 94 78
 127 | time: 576 msec | Optimization: 60 11926 1 13 92 78
 128 | time: 590 msec | Optimization: 60 11926 1 13 91 78
 129 | time: 592 msec | Optimization: 60 11926 1 13 89 78
 130 | time: 629 msec | Optimization: 60 11925 1 17 113 78
 131 | time: 634 msec | Optimization: 60 11925 1 17 112 78
 132 | time: 636 msec | Optimization: 60 11925 1 16 113 78
 133 | time: 640 msec | Optimization: 60 11925 1 16 112 78
 134 | time: 642 msec | Optimization: 60 11925 1 16 110 78
 135 | time: 644 msec | Optimization: 60 11925 1 16 109 78
 136 | time: 646 msec | Optimization: 60 11925 1 16 108 78
 137 | time: 649 msec | Optimization: 60 11925 1 15 108 78
 138 | time: 652 msec | Optimization: 60 11925 1 14 97 78
 139 | time: 850 msec | Optimization: 60 11868 1 15 103 76
 140 | time: 852 msec | Optimization: 60 11867 1 14 105 76
 141 | time: 854 msec | Optimization: 60 11811 1 14 112 76
 142 | time: 856 msec | Optimization: 60 11811 1 14 111 76
 143 | time: 858 msec | Optimization: 60 11811 1 14 109 76
 144 | time: 859 msec | Optimization: 60 11811 1 14 108 76
 145 | time: 861 msec | Optimization: 60 11811 1 14 107 76
 146 | time: 863 msec | Optimization: 60 11811 1 14 106 76
 147 | time: 909 msec | Optimization: 60 11811 1 14 105 76
 148 | time: 913 msec | Optimization: 60 11811 1 14 104 76
 149 | time: 916 msec | Optimization: 60 11811 1 14 103 76
 150 | time: 955 msec | Optimization: 60 11775 1 14 107 74
 151 | time: 958 msec | Optimization: 60 11775 1 14 106 74
 152 | time: 961 msec | Optimization: 60 11760 1 14 110 74
 153 | time: 964 msec | Optimization: 60 11760 1 14 108 74
 154 | time: 966 msec | Optimization: 60 11760 1 14 106 74
 155 | time: 969 msec | Optimization: 60 11751 1 14 110 74
 156 | time: 1037 msec | Optimization: 60 11748 1 15 111 74
 157 | time: 1040 msec | Optimization: 60 11748 1 14 111 74
 158 | time: 1043 msec | Optimization: 60 11748 1 14 110 74
 159 | time: 1045 msec | Optimization: 60 11748 1 14 107 74
 160 | time: 1047 msec | Optimization: 60 11748 1 14 106 74
 161 | time: 1050 msec | Optimization: 60 11745 1 14 111 74
 162 | time: 1053 msec | Optimization: 60 11745 1 14 109 74
 163 | time: 1056 msec | Optimization: 60 11745 1 14 108 74
 164 | time: 1058 msec | Optimization: 60 11745 1 14 107 74
 165 | time: 1062 msec | Optimization: 60 11745 1 14 106 74
 166 | time: 1065 msec | Optimization: 60 11744 1 14 107 74
 167 | time: 1067 msec | Optimization: 60 11744 1 14 106 74
 168 | time: 1070 msec | Optimization: 60 11743 1 14 106 74
 169 | time: 1073 msec | Optimization: 60 11741 1 14 108 74
 170 | time: 1075 msec | Optimization: 60 11740 1 14 108 74
 171 | time: 1079 msec | Optimization: 60 11738 1 14 108 74
 172 | time: 1082 msec | Optimization: 60 11679 1 14 112 73
 173 | time: 1086 msec | Optimization: 60 11679 1 14 109 73
 174 | time: 1088 msec | Optimization: 60 11679 1 14 108 73
 175 | time: 1091 msec | Optimization: 60 11676 1 14 110 73
 176 | time: 1094 msec | Optimization: 60 11674 1 15 110 74
 177 | time: 1097 msec | Optimization: 60 11674 1 15 110 73
 178 | time: 1100 msec | Optimization: 60 11674 1 14 111 73
 179 | time: 1102 msec | Optimization: 60 11674 1 14 110 73
 180 | time: 1106 msec | Optimization: 60 11654 1 14 114 72
 181 | time: 1109 msec | Optimization: 60 11654 1 14 112 72
 182 | time: 1113 msec | Optimization: 60 11654 1 14 111 72
 183 | time: 1115 msec | Optimization: 60 11654 1 14 110 72
 184 | time: 1119 msec | Optimization: 60 11649 1 14 114 72
 185 | time: 1122 msec | Optimization: 60 11649 1 14 113 72
 186 | time: 1126 msec | Optimization: 60 11649 1 14 111 72
 187 | time: 1132 msec | Optimization: 60 11648 1 14 116 73
 188 | time: 1136 msec | Optimization: 60 11648 1 14 115 73
 189 | time: 1139 msec | Optimization: 60 11648 1 14 115 72
 190 | time: 1143 msec | Optimization: 60 11648 1 14 113 73
 191 | time: 1145 msec | Optimization: 60 11648 1 14 113 72
 192 | time: 1150 msec | Optimization: 60 11639 1 15 118 73
 193 | time: 1153 msec | Optimization: 60 11639 1 15 117 73
 194 | time: 1155 msec | Optimization: 60 11639 1 14 119 73
 195 | time: 1158 msec | Optimization: 60 11639 1 14 117 73
 196 | time: 1161 msec | Optimization: 60 11639 1 14 117 72
 197 | time: 1164 msec | Optimization: 60 11638 1 14 122 72
 198 | time: 1169 msec | Optimization: 60 11638 1 14 120 73
 199 | time: 1172 msec | Optimization: 60 11638 1 14 120 72
 200 | time: 1179 msec | Optimization: 60 11638 1 14 119 72
