280,0,3,5,27,107,25,5
319,0,2,5,26,106,24,5
402,0,2,0,26,108,21,6
1066,0,2,0,23,119,28,6
1099,0,2,0,22,119,28,6
1119,0,2,0,21,119,27,6
1133,0,2,0,20,120,27,6
1143,0,2,0,19,120,27,6
1153,0,2,0,18,120,26,6
1170,0,2,0,17,118,24,6
1179,0,2,0,16,118,25,6
1196,0,2,0,15,118,24,6
1201,0,2,0,14,121,22,6
1206,0,2,0,13,120,21,6
1212,0,2,0,12,118,20,6
1224,0,2,0,11,119,21,6
1229,0,2,0,0,107,18,2
1771,0,2,0,0,0,10,2
4968,0,2,0,0,0,9,2
5082,0,2,0,0,0,8,5
5093,0,2,0,0,0,7,5
5105,0,2,0,0,0,6,5
5179,0,2,0,0,0,5,5
5457,0,2,0,0,0,5,4
5493,0,2,0,0,0,4,4
5555,0,2,0,0,0,3,0
5626,0,2,0,0,0,2,0
